Timestamp,Sensor_id_s,ax,ay,az,mx,my,mz,gx,gy,gz,Sensor_id_e
1644541153.1337357,2,8.03,2.66,4.95,0.00,0.00,0.00,-0.32,0.12,-0.11,2
1644541153.1337357,1,-6.92,5.58,3.59,0.00,0.00,0.00,0.02,0.19,0.09,1
1644541153.1347358,2,7.97,2.59,4.88,0.00,0.00,0.00,-0.29,0.11,-0.10,2
1644541153.1357358,1,-6.92,5.58,3.59,0.00,0.00,0.00,0.03,0.18,0.09,1
1644541153.1357358,2,8.03,2.59,4.84,0.00,0.00,0.00,-0.25,0.10,-0.08,2
1644541153.1367362,1,-7.01,5.75,3.73,0.00,0.00,0.00,0.00,0.18,0.08,1
1644541153.1377366,2,8.03,2.59,4.84,0.00,0.00,0.00,-0.20,0.12,-0.06,2
1644541153.1387367,1,-6.98,5.79,3.72,0.00,0.00,0.00,-0.05,0.20,0.08,1
1644541153.1387367,2,7.94,2.50,5.01,0.00,0.00,0.00,-0.09,0.10,-0.03,2
1644541153.139737,1,-6.98,5.79,3.72,0.00,0.00,0.00,-0.04,0.21,0.07,1
1644541153.1407373,2,7.90,2.49,5.15,0.00,0.00,0.00,-0.06,0.08,-0.03,2
1644541153.1417377,1,-6.95,5.63,3.59,0.00,0.00,0.00,0.01,0.26,0.08,1
1644541153.1417377,2,7.90,2.49,5.15,0.00,0.00,0.00,-0.05,0.06,-0.03,2
1644541153.1427376,1,-6.95,5.63,3.59,0.00,0.00,0.00,0.10,0.31,0.08,1
1644541153.1437383,2,7.91,2.50,5.13,0.00,0.00,0.00,-0.03,0.04,-0.03,2
1644541153.144738,1,-6.93,5.56,3.48,0.00,0.00,0.00,0.13,0.32,0.08,1
1644541153.144738,2,7.91,2.50,5.13,0.00,0.00,0.00,-0.01,0.03,-0.03,2
1644541153.1457381,1,-7.02,5.61,3.27,0.00,0.00,0.00,0.33,0.35,0.08,1
1644541153.1467385,2,7.97,2.38,5.12,0.00,0.00,0.00,0.03,0.03,-0.02,2
1644541153.1546624,1,-7.02,5.61,3.27,0.00,0.00,0.00,0.42,0.35,0.08,1
1644541153.1586652,2,7.93,2.44,5.20,0.00,0.00,0.00,0.08,0.05,0.02,2
1644541153.1669445,1,-7.01,5.63,3.22,0.00,0.00,0.00,0.47,0.33,0.09,1
1644541153.1716993,2,7.93,2.44,5.20,0.00,0.00,0.00,0.07,0.06,0.02,2
1644541153.1792505,1,-6.96,5.54,3.18,0.00,0.00,0.00,0.53,0.34,0.09,1
1644541153.1832182,2,7.91,2.38,5.24,0.00,0.00,0.00,0.08,0.07,0.02,2
1644541153.187442,1,-6.96,5.54,3.18,0.00,0.00,0.00,0.56,0.34,0.09,1
1644541153.1954455,2,7.87,2.39,5.32,0.00,0.00,0.00,0.10,0.06,0.02,2
1644541153.1994462,1,-7.05,5.74,3.06,0.00,0.00,0.00,0.56,0.30,0.09,1
1644541153.2044158,2,7.87,2.39,5.32,0.00,0.00,0.00,0.11,0.06,0.02,2
1644541153.211998,1,-7.05,5.74,3.06,0.00,0.00,0.00,0.54,0.23,0.11,1
1644541153.216002,2,7.93,2.43,5.29,0.00,0.00,0.00,0.15,0.04,0.02,2
1644541153.2240024,1,-7.12,6.00,3.07,0.00,0.00,0.00,0.52,0.15,0.13,1
1644541153.2280061,2,7.93,2.43,5.29,0.00,0.00,0.00,0.19,0.01,0.02,2
1644541153.2360132,1,-7.02,6.01,2.84,0.00,0.00,0.00,0.49,0.10,0.16,1
1644541153.2400165,2,7.92,2.44,5.43,0.00,0.00,0.00,0.19,0.00,0.03,2
1644541153.2450166,1,-7.02,6.01,2.84,0.00,0.00,0.00,0.49,0.09,0.16,1
1644541153.2520192,2,8.01,2.54,5.51,0.00,0.00,0.00,0.20,-0.01,0.02,2
1644541153.257019,1,-7.15,5.88,2.78,0.00,0.00,0.00,0.49,0.09,0.17,1
1644541153.26102,2,8.01,2.54,5.51,0.00,0.00,0.00,0.19,-0.01,0.03,2
1644541153.2690222,1,-7.15,5.88,2.78,0.00,0.00,0.00,0.49,-0.01,0.18,1
1644541153.2730227,2,8.02,2.58,5.53,0.00,0.00,0.00,0.16,-0.00,0.03,2
